iter	Logloss
0	0.441151115
5	0.3472508759
10	0.339887555
15	0.3372704407
20	0.335925656
25	0.334588591
30	0.3337172515
35	0.3329745203
40	0.3324412383
45	0.3319482786
50	0.3317193541
55	0.3316796586
60	0.3313012396
65	0.3311677329
70	0.3309293254
75	0.3303543103
80	0.3300790287
85	0.3297603291
90	0.329592809
95	0.3294158843
100	0.3291457753
105	0.3290317441
110	0.3287671995
115	0.3285765793
120	0.3284724817
125	0.3282960468
130	0.3282664222
135	0.3281682417
140	0.3279731347
145	0.3277358636
150	0.3275861927
155	0.3274008234
160	0.3272738216
165	0.3271856336
170	0.3270757169
175	0.3269966396
180	0.326985785
185	0.3268432852
190	0.3267601326
195	0.3266268806
200	0.3264599483
205	0.326351364
210	0.3263379428
215	0.3262171911
220	0.3261382314
225	0.3260927169
230	0.3260331738
235	0.3259847987
240	0.3259303497
245	0.3258945533
249	0.32589038
