iter	Passed	Remaining
0	331	82485
1	623	77351
2	940	77419
3	1204	74072
4	1497	73384
5	1779	72380
6	2082	72305
7	2368	71636
8	2649	70949
9	2937	70498
10	3230	70196
11	3481	69048
12	3771	68759
13	4073	68671
14	4358	68282
15	4638	67837
16	4914	67354
17	5176	66716
18	5438	66123
19	5691	65453
20	5983	65246
21	6267	64950
22	6537	64523
23	6846	64474
24	7102	63924
25	7356	63377
26	7589	62685
27	7852	62259
28	8093	61675
29	8333	61109
30	8552	60417
31	8812	60033
32	9010	59253
33	9265	58865
34	9510	58419
35	9769	58073
36	10016	57663
37	10254	57207
38	10474	56670
39	10723	56300
40	10974	55945
41	11204	55486
42	11443	55087
43	11710	54824
44	11952	54452
45	12124	53768
46	12212	52748
47	12306	51790
48	12501	51282
49	12762	51048
50	13012	50772
51	13250	50455
52	13485	50126
53	13693	49701
54	13892	49255
55	14120	48916
56	14278	48346
57	14390	47637
58	14629	47361
59	14863	47069
60	15100	46785
61	15289	46360
62	15478	45945
63	15736	45734
64	15931	45343
65	16146	45014
66	16384	44751
67	16617	44477
68	16817	44114
69	17061	43872
70	17315	43654
71	17563	43419
72	17814	43193
73	18056	42945
74	18315	42735
75	18568	42512
76	18831	42310
77	19074	42062
78	19314	41808
79	19517	41475
80	19770	41250
81	20022	41020
82	20263	40770
83	20491	40494
84	20702	40187
85	20916	39887
86	21157	39640
87	21399	39393
88	21596	39068
89	21835	38818
90	22047	38522
91	22271	38249
92	22474	37941
93	22731	37724
94	22938	37425
95	23173	37174
96	23398	36907
97	23617	36630
98	23830	36347
99	24045	36068
100	24296	35842
101	24546	35616
102	24784	35372
103	24992	35085
104	25180	34772
105	25372	34468
106	25580	34187
107	25848	33985
108	26056	33705
109	26293	33464
110	26497	33181
111	26703	32901
112	26904	32618
113	27126	32361
114	27386	32148
115	27625	31912
116	27821	31626
117	28058	31387
118	28257	31106
119	28477	30850
120	28743	30643
121	28943	30366
122	29159	30107
123	29386	29860
124	29617	29617
125	29865	29391
126	30054	29108
127	30254	28836
128	30490	28599
129	30690	28329
130	30882	28053
131	30977	27692
132	31070	27333
133	31305	27100
134	31567	26891
135	31795	26651
136	32025	26415
137	32267	26188
138	32479	25936
139	32717	25706
140	32943	25466
141	33164	25223
142	33408	24998
143	33675	24788
144	33900	24548
145	34171	24341
146	34392	24097
147	34628	23865
148	34878	23642
149	35104	23402
150	35367	23188
151	35616	22963
152	35860	22734
153	36111	22510
154	36348	22277
155	36605	22057
156	36825	21813
157	37064	21581
158	37332	21366
159	37557	21126
160	37753	20869
161	37865	20568
162	38122	20347
163	38361	20116
164	38591	19880
165	38805	19636
166	39021	19393
167	39246	19156
168	39481	18923
169	39679	18672
170	39948	18455
171	40139	18202
172	40357	17962
173	40576	17723
174	40761	17469
175	40968	17225
176	41220	17000
177	41464	16772
178	41680	16532
179	41930	16306
180	42175	16077
181	42363	15828
182	42613	15601
183	42826	15361
184	43037	15121
185	43236	14877
186	43483	14649
187	43693	14409
188	43904	14170
189	44115	13931
190	44356	13701
191	44561	13461
192	44749	13216
193	44943	12973
194	45156	12736
195	45365	12498
196	45582	12263
197	45799	12028
198	46002	11789
199	46188	11547
200	46381	11307
201	46596	11072
202	46790	10833
203	47004	10599
204	47271	10376
205	47461	10137
206	47694	9907
207	47928	9677
208	48171	9449
209	48365	9212
210	48559	8975
211	48748	8737
212	48971	8506
213	49191	8275
214	49403	8042
215	49593	7806
216	49778	7569
217	49966	7334
218	50190	7104
219	50423	6875
220	50671	6649
221	50894	6419
222	51122	6189
223	51359	5961
224	51567	5729
225	51772	5497
226	51966	5265
227	52188	5035
228	52431	4808
229	52671	4580
230	52929	4353
231	53148	4123
232	53391	3895
233	53614	3665
234	53857	3437
235	54060	3206
236	54282	2977
237	54493	2747
238	54739	2519
239	54933	2288
240	55148	2059
241	55400	1831
242	55661	1603
243	55893	1374
244	56132	1145
245	56338	916
246	56584	687
247	56836	458
248	57031	229
249	57235	0
